pair,n_candles,n_windows,beta_full,beta_rolling_mean,beta_rolling_std,beta_drift_pct,coint_pct,eg_p_median,eg_p_p25,eg_p_p75,long_triggers,short_triggers,stop_triggers,hl_median_candles,hl_median_hours,hl_p25_candles,hl_p75_candles,hl_inf_count
BTC/ETH,16854,146,0.6373130166733788,0.4722962835141266,0.12137237359062708,-27.34112829656955,15.068493150684931,0.27467398941538324,0.12870637312568317,0.7016050337443289,232,1354,40,132.518911240935,33.12972781023375,107.12032707041448,356.5323862667424,1
BTC/SOL,16854,146,0.5265699475516453,0.2658595574764705,0.10233311983762379,-13.894729330028433,13.013698630136986,0.3457486098054294,0.13192877094222916,0.6491844031612941,433,1116,37,192.43034078977075,48.107585197442695,134.97514646613104,365.48144302238615,4
ETH/SOL,16854,146,0.8348607715764339,0.47250719446474626,0.19216073269650058,-58.52052298564692,18.493150684931507,0.3226743879933014,0.11311951530639668,0.6831748150402212,1280,1158,263,224.64335179367202,56.160837948418006,173.11154063628305,476.6245013569922,4
