month,mean_rate,std_rate,count,negative_count,positive_count,negative_pct
2025-01,0.007589161290322581,0.003232630875289751,93,2,91,2.1505376344086025
2025-02,0.004970452380952381,0.008330046124931616,84,14,70,16.666666666666664
2025-03,0.002406784946236559,0.006155413774544964,93,29,64,31.182795698924732
2025-04,0.0021400444444444446,0.00510860094727039,90,30,60,33.33333333333333
2025-05,0.00433194623655914,0.005299640745341778,93,17,76,18.27956989247312
2025-06,0.0027250444444444446,0.004143652760578483,90,24,66,26.666666666666668
2025-07,0.00814463440860215,0.00320213832015606,93,3,90,3.225806451612903
2025-08,0.007264763440860215,0.0038564797486992154,93,6,87,6.451612903225806
2025-09,0.006026055555555555,0.003796651899840739,90,8,82,8.88888888888889
2025-10,0.0049053870967741935,0.004616095446870039,93,13,80,13.978494623655912
2025-11,0.0025181333333333332,0.003919262196102445,90,27,63,30.0
2025-12,0.0028986021505376346,0.0038398785056068386,93,26,67,27.956989247311824
2026-01,0.002946516129032258,0.004107078432712775,93,24,69,25.806451612903224
2026-02,0.0014113333333333335,0.00460252974790183,84,33,51,39.285714285714285
2026-03,-0.00013772043010752694,0.004296283695812482,93,46,47,49.46236559139785
2026-04,-0.0006381392405063291,0.0047978723535947836,79,42,37,53.16455696202531
