pair,short_favorable_pct,avg_favorable_rate_pct,annual_funding_income_pct
BTC,76.17728531855957,0.005944769999999999,4.958778022853187
ETH,73.89196675900277,0.006493268978444236,5.253814549861496
SOL,61.8421052631579,0.007424601343784995,5.0277251073407205
XRP,70.29085872576178,0.007381618719211822,5.6815204882271475
BNB,65.02770083102493,0.007926879659211926,5.644361011080331
ADA,71.71428571428572,0.007491537848605576,5.882890628571428
AVAX,66.07142857142857,0.00780028108108108,5.6433640714285715
DOGE,73.56401384083044,0.007227467544684854,5.821912671280276
LINK,75.71428571428571,0.0077244188679245285,6.404094985714285
LTC,73.35714285714286,0.006920046738072054,5.558601685714286
