pair,total_events,short_favorable_pct,short_unfavorable_pct,mean_rate,median_rate,min_rate,max_rate,annual_impact_pct,avg_positive_rate,avg_negative_rate
BTC,1444,76.17728531855957,23.822714681440445,0.003770809556786703,0.0038205,-0.029357,0.05139,4.12903646468144,0.005944769999999999,-0.003180808139534884
ETH,1444,73.89196675900277,26.10803324099723,0.003638443905817175,0.0043745,-0.117719,0.033568,3.9840960768698057,0.006493268978444236,-0.004441392572944298
SOL,1444,61.8421052631579,38.15789473684211,0.0008479806094182828,0.0033805,-0.5,0.13873100000000002,0.9285387673130197,0.007424601343784995,-0.009810680580762251
XRP,1444,70.29085872576178,29.709141274238227,0.0031042409972299174,0.005118,-0.58,0.046100999999999996,3.3991438919667587,0.007381618719211822,-0.007015895104895105
BNB,1444,65.02770083102493,34.97229916897507,0.001509310941828255,0.005397,-0.08538699999999999,0.03172,1.6526954813019379,0.007926879659211926,-0.010423554455445544
ADA,1400,71.71428571428572,28.285714285714285,0.003140424285714286,0.0057175,-0.561711,0.043661,3.438764592857142,0.007491537848605576,-0.007891186868686869
AVAX,1400,66.07142857142857,33.92857142857143,0.0014449500000000002,0.004993,-0.841627,0.05857,1.582220249999999,0.00780028108108108,-0.01093122105263158
DOGE,1445,73.56401384083044,26.43598615916955,0.0036901543252595152,0.005461,-0.58,0.035727,4.0407189861591695,0.007227467544684854,-0.006153206806282723
LINK,1400,75.71428571428571,24.285714285714285,0.003929547857142857,0.0073025,-0.808203,0.022667,4.302854903571428,0.0077244188679245285,-0.007901520588235294
LTC,1400,73.35714285714286,26.64285714285714,0.003845847857142857,0.0049535,-0.233731,0.012758,4.211203403571429,0.006920046738072054,-0.004618501340482573
